report_date;_order_id;Zamówienie;Data zamówienia;Upgrade z zamówienia;Upgrade na zamówienie;_offer_id;offer_upgrade_from;offer_upgrade_from_from;Imię;Nazwisko;Email;Typ oferty;Numer rozliczeniowy;Nazwa oferty;Okres;Data aktywacji abonamentu;Data uruchomienia abonamentu;Planowana data zakończenia abonamentu;Data zakończenia abonamentu;Data wypowiedzenia abonamentu;Status zamówienia;Cena oferty;employer;deduct_pension;deduct_other;deduct_other2;zfss;personal;special_employer;special_motivizer;payu;subscription_points;deduct_b2b;Dostawca;Nazwa_firmy;Galaz_dochodowa;Upgrade_ta_sama_oferta;Po_Upgrade_ta_sama_oferta;Upgrade_ta_sama_konfigurowalna;Po_Upgrade_ta_sama_konfigurowalna;Upgrade_rozne_oferty;Po_Upgrade_rozne_oferty;Przystąpienia_uruchomione_w_tym_miesiącu;Przystąpienia_możliwe_w_tym_miesiącu;Przystąpienia_do_uruchomienia_kolejnym_miesiącu;Przystąpienia_możliwe_do_uruchomienia_w_kolejnym_miesiącu;Zakończone_w_poprzednim_miesiącu;Zakończone_na_koniec_bieżącego_miesiąca;userdataemployee_id
2022-10-06;1161046;470000288;2022-03-31;;;38817;;;Barbara;Kowalski;barbara.Xxxxcka@test.com;child;08101032;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;77552
2022-10-06;1161048;470000289;2022-03-31;;;38817;;;Agnieszka;Kowalski;agnieszka.Xxxxfionow@test.com;child;07501521;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;79015
2022-10-06;1161050;470000290;2022-03-31;;;38817;;;Piotr;Kowalski;piotr.Xxxxyga@test.com;child;01801841;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;79397
2022-10-06;1161052;470000291;2022-03-31;;;38817;;;Hubert;Kowalski;hubert.Xxxxipczak@test.com;child;05403516;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;77993
2022-10-06;1161054;470000292;2022-03-31;;;38817;;;Dominik;Kowalski;dominik.Xxxxecki@test.com;child;09304447;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;78655
2022-10-06;1161056;470000293;2022-03-31;;;38817;;;Justyna;Kowalski;justyna.Xxxxowska@test.com;child;04004621;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_3;0;0;0;0;0;0;0;0;0;0;0;0;78664
2022-10-06;1161058;470000294;2022-03-31;;;38817;;;Agata;Kowalski;agata.Xxxxanska@test.com;child;04705802;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_3;0;0;0;0;0;0;0;0;0;0;0;0;79230
2022-10-06;1161060;470000295;2022-03-31;;;38817;;;Katarzyna;Kowalski;katarzyna.Xxxxczak@test.com;child;08706621;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_1;0;0;0;0;0;0;0;0;0;0;0;0;78191
2022-10-06;1161062;470000296;2022-03-31;;470005810;38817;;;Kacper;Kowalski;jaroslaw.Xxxxlak@test.com;child;02807186;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-04-01;2022-03-01;2022-04-30;2022-05-01;;subscriptionEnded;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;1;0;0;0;0;0;0;0;0;78503
2022-10-06;1161064;470000297;2022-03-31;;;38817;;;Dorota;Kowalski;dorota.Xxxxmaszko@test.com;child;07309579;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;79325
